@relation dataset-NUMERIC

@attribute case_no numeric
@attribute checking_status {0<=X<200,'no checking',<0,>=200}
@attribute credit_history {'existing paid','critical/other existing credit','delayed previously','no credits/all paid','all paid'}
@attribute purpose {radio/tv,education,furniture/equipment,'new car','used car',business,'domestic appliance',repairs,other,repars,retraining}
@attribute credit_amount numeric
@attribute saving_status {<100,'no known savings',500<=X<1000,>=1000,100<=X<500}
@attribute employment {1<=X<4,4<=X<7,>=7,unemployed,<1}
@attribute personal_status {'female div/sep/mar','male single','male div/sep','male mar/wid'}
@attribute age numeric
@attribute job {skilled,'unskilled resident','high qualif/self emp/mgmt','unemp/unskilled non res'}
@attribute class {bad,good}

@data
46,'no checking','existing paid',radio/tv,2299,500<=X<1000,>=7,'male single',39,skilled,good
47,<0,'existing paid','used car',1352,500<=X<1000,unemployed,'female div/sep/mar',23,'unemp/unskilled non res',good
48,'no checking','critical/other existing credit','new car',7228,<100,1<=X<4,'male single',39,'unskilled resident',good
49,'no checking','existing paid',radio/tv,2073,100<=X<500,1<=X<4,'female div/sep/mar',28,skilled,good
50,0<=X<200,'delayed previously',furniture/equipment,2333,'no known savings',<1,'male single',29,'unskilled resident',good
51,0<=X<200,'delayed previously','used car',5965,<100,>=7,'male single',30,'high qualif/self emp/mgmt',good
52,'no checking','existing paid',radio/tv,1262,<100,1<=X<4,'male single',25,skilled,good
53,'no checking','existing paid','used car',3378,'no known savings',1<=X<4,'male single',31,skilled,good
54,0<=X<200,'delayed previously','new car',2225,<100,>=7,'male single',57,skilled,bad
55,'no checking','all paid','new car',783,'no known savings',1<=X<4,'male single',26,'unskilled resident',good
56,0<=X<200,'existing paid',radio/tv,6468,'no known savings',unemployed,'male single',52,'high qualif/self emp/mgmt',bad
57,'no checking','critical/other existing credit',radio/tv,9566,<100,1<=X<4,'female div/sep/mar',31,skilled,good
58,>=200,'existing paid','new car',1961,<100,>=7,'female div/sep/mar',23,'high qualif/self emp/mgmt',good
59,<0,'critical/other existing credit',furniture/equipment,6229,<100,<1,'female div/sep/mar',23,'unskilled resident',bad
60,0<=X<200,'existing paid',business,1391,<100,1<=X<4,'male mar/wid',27,skilled,good
61,0<=X<200,'critical/other existing credit',radio/tv,1537,'no known savings',>=7,'male single',50,skilled,good
62,0<=X<200,'no credits/all paid',business,1953,<100,>=7,'male single',61,'high qualif/self emp/mgmt',bad
63,0<=X<200,'no credits/all paid',business,14421,<100,1<=X<4,'male single',25,skilled,bad
64,'no checking','existing paid',radio/tv,3181,<100,<1,'female div/sep/mar',26,skilled,good
65,'no checking','existing paid',repairs,5190,'no known savings',>=7,'male single',48,skilled,good
66,'no checking','existing paid',radio/tv,2171,<100,<1,'female div/sep/mar',29,skilled,good
67,0<=X<200,'existing paid','new car',1007,>=1000,1<=X<4,'male mar/wid',22,skilled,good
68,'no checking','existing paid',education,1819,<100,1<=X<4,'male single',37,skilled,bad
69,'no checking','existing paid',radio/tv,2394,'no known savings',1<=X<4,'female div/sep/mar',25,skilled,good
70,'no checking','existing paid','used car',8133,<100,1<=X<4,'female div/sep/mar',30,skilled,good
71,'no checking','critical/other existing credit',radio/tv,730,'no known savings',>=7,'male single',46,'unskilled resident',good
72,<0,'critical/other existing credit',other,1164,<100,>=7,'male single',51,'high qualif/self emp/mgmt',good
73,0<=X<200,'critical/other existing credit',business,5954,<100,4<=X<7,'female div/sep/mar',41,'unskilled resident',good
74,<0,'existing paid',education,1977,'no known savings',>=7,'male single',40,'high qualif/self emp/mgmt',bad
75,<0,'critical/other existing credit','used car',1526,<100,>=7,'male single',66,'high qualif/self emp/mgmt',good
76,<0,'existing paid',radio/tv,3965,<100,<1,'male single',34,skilled,bad
77,0<=X<200,'delayed previously',radio/tv,4771,<100,4<=X<7,'male single',51,skilled,good
78,'no checking','no credits/all paid','used car',9436,'no known savings',1<=X<4,'male single',39,'unskilled resident',good
79,0<=X<200,'existing paid',furniture/equipment,3832,<100,<1,'male mar/wid',22,skilled,good
80,'no checking','existing paid',radio/tv,5943,'no known savings',<1,'female div/sep/mar',44,skilled,bad
81,'no checking','existing paid',radio/tv,1213,500<=X<1000,>=7,'male single',47,skilled,good
82,'no checking','existing paid',business,1568,100<=X<500,1<=X<4,'female div/sep/mar',24,'unskilled resident',good
83,<0,'existing paid',other,1755,<100,>=7,'female div/sep/mar',58,'unskilled resident',good
84,<0,'existing paid',radio/tv,2315,<100,>=7,'male single',52,'unskilled resident',good
85,'no checking','critical/other existing credit',business,1412,<100,1<=X<4,'female div/sep/mar',29,'high qualif/self emp/mgmt',good
86,0<=X<200,'critical/other existing credit',furniture/equipment,1295,<100,<1,'female div/sep/mar',27,skilled,good
87,0<=X<200,'existing paid',education,12612,100<=X<500,1<=X<4,'male single',47,skilled,bad
88,<0,'existing paid','new car',2249,100<=X<500,4<=X<7,'male single',30,'high qualif/self emp/mgmt',good
89,<0,'no credits/all paid',repairs,1108,<100,4<=X<7,'male single',28,skilled,bad
90,'no checking','critical/other existing credit',radio/tv,618,<100,>=7,'male single',56,skilled,good
91,<0,'critical/other existing credit','used car',1409,<100,>=7,'male single',54,skilled,good
92,'no checking','critical/other existing credit',radio/tv,797,'no known savings',>=7,'female div/sep/mar',33,'unskilled resident',bad
93,>=200,'critical/other existing credit',furniture/equipment,3617,'no known savings',>=7,'male single',20,skilled,good
94,0<=X<200,'existing paid','new car',1318,>=1000,>=7,'male single',54,skilled,good
95,0<=X<200,'no credits/all paid',business,15945,<100,<1,'male single',58,skilled,bad
96,'no checking','critical/other existing credit',education,2012,'no known savings',4<=X<7,'female div/sep/mar',61,skilled,good
97,0<=X<200,'existing paid',business,2622,100<=X<500,1<=X<4,'male single',34,skilled,good
98,0<=X<200,'critical/other existing credit',radio/tv,2337,<100,>=7,'male single',36,skilled,good
99,0<=X<200,'delayed previously','used car',7057,'no known savings',4<=X<7,'male single',36,'high qualif/self emp/mgmt',good
100,'no checking','existing paid','new car',1469,100<=X<500,>=7,'male mar/wid',41,'unskilled resident',good
101,0<=X<200,'existing paid',radio/tv,2323,<100,4<=X<7,'male single',24,skilled,good
102,'no checking','delayed previously',radio/tv,932,<100,1<=X<4,'female div/sep/mar',24,skilled,good
103,0<=X<200,'critical/other existing credit',furniture/equipment,1919,<100,4<=X<7,'male single',35,skilled,good
104,'no checking','existing paid','used car',2445,'no known savings',<1,'male mar/wid',26,skilled,good
105,0<=X<200,'critical/other existing credit',other,11938,<100,1<=X<4,'male single',39,'high qualif/self emp/mgmt',bad
106,'no checking','all paid','new car',6458,<100,>=7,'male single',39,'high qualif/self emp/mgmt',bad
107,0<=X<200,'existing paid','new car',6078,<100,4<=X<7,'male single',32,skilled,good
108,<0,'existing paid',furniture/equipment,7721,'no known savings',<1,'female div/sep/mar',30,skilled,good
109,0<=X<200,'existing paid',business,1410,500<=X<1000,>=7,'male mar/wid',35,skilled,good
110,0<=X<200,'delayed previously',business,1449,100<=X<500,>=7,'male div/sep',31,skilled,good
111,>=200,'existing paid',education,392,<100,<1,'female div/sep/mar',23,skilled,good
112,0<=X<200,'existing paid','new car',6260,<100,4<=X<7,'male single',28,'unskilled resident',good
113,'no checking','critical/other existing credit','new car',7855,<100,1<=X<4,'female div/sep/mar',25,skilled,bad
114,<0,'existing paid',radio/tv,1680,500<=X<1000,>=7,'male mar/wid',35,skilled,good
115,'no checking','critical/other existing credit',radio/tv,3578,'no known savings',>=7,'male single',47,skilled,good
116,<0,'existing paid',radio/tv,7174,'no known savings',4<=X<7,'female div/sep/mar',30,'high qualif/self emp/mgmt',bad
117,<0,'critical/other existing credit',furniture/equipment,2132,'no known savings',<1,'female div/sep/mar',27,skilled,good
118,<0,'critical/other existing credit',furniture/equipment,4281,500<=X<1000,1<=X<4,'female div/sep/mar',23,skilled,bad
119,0<=X<200,'critical/other existing credit','new car',2366,500<=X<1000,4<=X<7,'male div/sep',36,'high qualif/self emp/mgmt',good
120,<0,'existing paid',radio/tv,1835,<100,1<=X<4,'female div/sep/mar',25,skilled,bad
121,'no checking','critical/other existing credit','used car',3868,<100,>=7,'female div/sep/mar',41,'high qualif/self emp/mgmt',good
122,'no checking','existing paid',furniture/equipment,1768,<100,1<=X<4,'male single',24,'unskilled resident',good
123,>=200,'critical/other existing credit','new car',781,<100,>=7,'male single',63,skilled,good
124,0<=X<200,'existing paid',furniture/equipment,1924,'no known savings',<1,'female div/sep/mar',27,skilled,bad
125,<0,'critical/other existing credit','new car',2121,<100,1<=X<4,'male single',30,skilled,good
126,<0,'existing paid',radio/tv,701,<100,1<=X<4,'male mar/wid',40,'unskilled resident',good
127,0<=X<200,'existing paid',repairs,639,<100,1<=X<4,'male single',30,skilled,bad
128,0<=X<200,'critical/other existing credit','used car',1860,<100,unemployed,'male single',34,'high qualif/self emp/mgmt',good
129,<0,'critical/other existing credit','new car',3499,<100,1<=X<4,'female div/sep/mar',29,skilled,bad
130,0<=X<200,'existing paid','new car',8487,'no known savings',4<=X<7,'female div/sep/mar',24,skilled,good
131,<0,'delayed previously',education,6887,<100,1<=X<4,'male single',29,skilled,bad
132,'no checking','existing paid',furniture/equipment,2708,<100,<1,'male single',27,'unskilled resident',good
133,'no checking','existing paid',furniture/equipment,1984,<100,1<=X<4,'male single',47,skilled,good
134,'no checking','existing paid',radio/tv,10144,100<=X<500,4<=X<7,'female div/sep/mar',21,skilled,good
135,'no checking','critical/other existing credit',radio/tv,1240,'no known savings',>=7,'female div/sep/mar',38,skilled,good
136,'no checking','delayed previously','used car',8613,>=1000,1<=X<4,'male single',27,skilled,good
137,0<=X<200,'existing paid',radio/tv,766,500<=X<1000,1<=X<4,'male single',66,'unskilled resident',bad
138,0<=X<200,'critical/other existing credit',radio/tv,2728,'no known savings',4<=X<7,'male single',35,skilled,good
139,>=200,'existing paid',radio/tv,1881,<100,1<=X<4,'female div/sep/mar',44,'unskilled resident',good
140,>=200,'existing paid','new car',709,>=1000,<1,'male mar/wid',27,'unemp/unskilled non res',good
141,0<=X<200,'existing paid',radio/tv,4795,<100,<1,'female div/sep/mar',30,'high qualif/self emp/mgmt',good
142,<0,'existing paid',radio/tv,3416,<100,1<=X<4,'male single',27,'high qualif/self emp/mgmt',good
143,<0,'existing paid',furniture/equipment,2462,<100,1<=X<4,'male single',22,skilled,bad
144,'no checking','critical/other existing credit',furniture/equipment,2288,<100,<1,'female div/sep/mar',23,skilled,good
145,0<=X<200,'all paid',business,3566,100<=X<500,4<=X<7,'male single',30,skilled,good
146,<0,'critical/other existing credit','new car',860,<100,>=7,'female div/sep/mar',39,skilled,good
147,'no checking','critical/other existing credit','new car',682,100<=X<500,4<=X<7,'female div/sep/mar',51,skilled,good
148,<0,'critical/other existing credit',furniture/equipment,5371,<100,1<=X<4,'male single',28,skilled,good
149,'no checking','critical/other existing credit',radio/tv,1582,>=1000,>=7,'male single',46,skilled,good
150,'no checking','existing paid',radio/tv,1346,100<=X<500,>=7,'male single',42,skilled,good
151,'no checking','existing paid',radio/tv,1924,<100,1<=X<4,'male single',38,skilled,good
152,>=200,'existing paid',radio/tv,5848,<100,1<=X<4,'male single',24,skilled,good
153,0<=X<200,'critical/other existing credit','used car',7758,>=1000,>=7,'female div/sep/mar',29,skilled,good
154,0<=X<200,'delayed previously',business,6967,100<=X<500,4<=X<7,'male single',36,'high qualif/self emp/mgmt',good
155,<0,'existing paid',furniture/equipment,1282,<100,1<=X<4,'female div/sep/mar',20,skilled,bad
156,<0,'critical/other existing credit',repars,1288,100<=X<500,>=7,'male single',48,skilled,good
157,<0,'all paid',retraining,339,<100,>=7,'male mar/wid',45,'unskilled resident',good
158,0<=X<200,'existing paid','new car',3512,100<=X<500,4<=X<7,'male single',38,skilled,good
159,'no checking','critical/other existing credit',radio/tv,1898,'no known savings',1<=X<4,'male single',34,'unskilled resident',good
160,'no checking','critical/other existing credit',radio/tv,2872,100<=X<500,>=7,'male single',36,skilled,good
161,'no checking','critical/other existing credit','new car',1055,<100,<1,'female div/sep/mar',30,skilled,good
162,'no checking','existing paid','domestic appliance',1262,500<=X<1000,4<=X<7,'male single',36,skilled,good
163,0<=X<200,'existing paid','new car',7308,<100,unemployed,'male single',70,'high qualif/self emp/mgmt',good
164,'no checking','existing paid','new car',909,500<=X<1000,>=7,'male single',36,skilled,good
165,'no checking','existing paid',furniture/equipment,2978,500<=X<1000,1<=X<4,'male single',32,skilled,good
166,<0,'existing paid',furniture/equipment,1131,<100,unemployed,'female div/sep/mar',33,skilled,bad
167,0<=X<200,'existing paid',furniture/equipment,1577,>=1000,<1,'female div/sep/mar',20,skilled,good
168,'no checking','existing paid',furniture/equipment,3972,<100,4<=X<7,'female div/sep/mar',25,skilled,good
169,0<=X<200,'critical/other existing credit',business,1935,<100,>=7,'male div/sep',31,skilled,bad
170,<0,'no credits/all paid','new car',950,<100,>=7,'male single',33,skilled,bad
171,'no checking','existing paid',furniture/equipment,763,<100,1<=X<4,'female div/sep/mar',26,skilled,good
172,0<=X<200,'delayed previously',furniture/equipment,2064,<100,unemployed,'female div/sep/mar',34,'high qualif/self emp/mgmt',bad
173,0<=X<200,'existing paid',radio/tv,1414,<100,1<=X<4,'male single',33,skilled,good
174,<0,'delayed previously',education,3414,<100,<1,'male single',26,skilled,bad
175,'no checking','all paid','used car',7485,'no known savings',unemployed,'female div/sep/mar',53,'high qualif/self emp/mgmt',bad
176,<0,'existing paid',furniture/equipment,2577,<100,1<=X<4,'male div/sep',42,skilled,good
177,<0,'critical/other existing credit',radio/tv,338,500<=X<1000,>=7,'male single',52,skilled,good
178,'no checking','existing paid',radio/tv,1963,<100,4<=X<7,'male single',31,'high qualif/self emp/mgmt',good
179,<0,'critical/other existing credit','new car',571,<100,>=7,'male single',65,skilled,good
180,'no checking','delayed previously',business,9572,<100,<1,'male div/sep',28,skilled,bad
181,0<=X<200,'delayed previously',business,4455,<100,1<=X<4,'male div/sep',30,'high qualif/self emp/mgmt',bad
182,<0,'all paid','new car',1647,'no known savings',1<=X<4,'male single',40,'unskilled resident',bad
183,'no checking','critical/other existing credit',furniture/equipment,3777,>=1000,1<=X<4,'male single',50,skilled,good
184,0<=X<200,'critical/other existing credit','new car',884,<100,>=7,'male single',36,skilled,bad
185,'no checking','critical/other existing credit',radio/tv,1360,<100,1<=X<4,'male single',31,skilled,good
186,0<=X<200,'all paid','used car',5129,<100,>=7,'female div/sep/mar',74,'high qualif/self emp/mgmt',bad
187,0<=X<200,'critical/other existing credit','new car',1175,<100,unemployed,'male single',68,'unemp/unskilled non res',good
188,<0,'existing paid',radio/tv,674,100<=X<500,4<=X<7,'male mar/wid',20,skilled,bad
189,0<=X<200,'no credits/all paid',furniture/equipment,3244,<100,1<=X<4,'female div/sep/mar',33,skilled,good
190,'no checking','existing paid',business,4591,>=1000,1<=X<4,'male single',54,'high qualif/self emp/mgmt',bad
191,0<=X<200,'no credits/all paid',business,3844,100<=X<500,4<=X<7,'male single',34,'unskilled resident',bad
192,0<=X<200,'existing paid',business,3915,<100,1<=X<4,'male single',36,skilled,bad
193,'no checking','existing paid',radio/tv,2108,<100,4<=X<7,'male mar/wid',29,skilled,good
194,0<=X<200,'existing paid',radio/tv,3031,100<=X<500,1<=X<4,'male single',21,skilled,bad
195,0<=X<200,'critical/other existing credit',education,1501,<100,>=7,'female div/sep/mar',34,'high qualif/self emp/mgmt',bad
196,'no checking','critical/other existing credit',radio/tv,1382,<100,1<=X<4,'female div/sep/mar',28,skilled,good
197,0<=X<200,'existing paid',furniture/equipment,951,100<=X<500,<1,'female div/sep/mar',27,skilled,bad
198,0<=X<200,'existing paid','used car',2760,'no known savings',>=7,'male single',36,skilled,good
199,0<=X<200,'delayed previously',furniture/equipment,4297,<100,>=7,'male div/sep',40,'high qualif/self emp/mgmt',bad
200,'no checking','critical/other existing credit',education,936,500<=X<1000,>=7,'male single',52,skilled,good
201,<0,'existing paid','new car',1168,<100,1<=X<4,'male mar/wid',27,'unskilled resident',good
202,'no checking','delayed previously',business,5117,<100,4<=X<7,'male single',26,skilled,good
203,<0,'existing paid',retraining,902,<100,4<=X<7,'male mar/wid',21,skilled,bad
204,'no checking','critical/other existing credit','new car',1495,<100,>=7,'male single',38,'unskilled resident',good
205,<0,'critical/other existing credit','used car',10623,<100,>=7,'male single',38,'high qualif/self emp/mgmt',good
206,'no checking','critical/other existing credit',furniture/equipment,1935,<100,>=7,'male single',43,skilled,good
207,0<=X<200,'critical/other existing credit','domestic appliance',1424,<100,4<=X<7,'male single',26,skilled,good
208,<0,'existing paid',business,6568,<100,1<=X<4,'male mar/wid',21,'unskilled resident',good
209,'no checking','existing paid','used car',1413,>=1000,4<=X<7,'male single',55,skilled,good
210,'no checking','critical/other existing credit',radio/tv,3074,'no known savings',1<=X<4,'male single',33,skilled,good
211,'no checking','existing paid',radio/tv,3835,'no known savings',>=7,'female div/sep/mar',45,'unskilled resident',good
212,<0,'no credits/all paid',business,5293,<100,unemployed,'male single',50,skilled,bad
213,>=200,'delayed previously',business,1908,<100,>=7,'male single',66,'high qualif/self emp/mgmt',bad
214,'no checking','critical/other existing credit',radio/tv,3342,'no known savings',>=7,'male single',51,skilled,good
215,0<=X<200,'critical/other existing credit',retraining,932,'no known savings',4<=X<7,'female div/sep/mar',39,'unskilled resident',good
216,<0,'no credits/all paid',business,3104,<100,4<=X<7,'male single',31,skilled,good
217,>=200,'existing paid',radio/tv,3913,<100,1<=X<4,'male single',23,skilled,good
218,<0,'existing paid',furniture/equipment,3021,<100,1<=X<4,'male div/sep',24,'unskilled resident',good
219,'no checking','existing paid','new car',1364,<100,1<=X<4,'female div/sep/mar',64,skilled,good
220,0<=X<200,'existing paid',radio/tv,625,<100,<1,'male mar/wid',26,'unskilled resident',good
221,<0,'existing paid',education,1200,'no known savings',1<=X<4,'female div/sep/mar',23,skilled,good
222,'no checking','existing paid',radio/tv,707,<100,1<=X<4,'male single',30,skilled,good
223,'no checking','delayed previously',business,2978,'no known savings',1<=X<4,'male single',32,skilled,good
224,'no checking','existing paid','used car',4657,<100,1<=X<4,'male single',30,skilled,good
225,'no checking','no credits/all paid',repars,2613,<100,1<=X<4,'male single',27,skilled,good
226,0<=X<200,'existing paid',radio/tv,10961,>=1000,4<=X<7,'male single',27,skilled,bad
227,<0,'existing paid',furniture/equipment,7865,<100,>=7,'male single',53,'high qualif/self emp/mgmt',bad
228,'no checking','existing paid',radio/tv,1478,<100,4<=X<7,'male single',22,skilled,bad
229,<0,'existing paid',furniture/equipment,3149,<100,<1,'male single',22,skilled,good
230,>=200,'existing paid',radio/tv,4210,<100,1<=X<4,'male single',26,skilled,bad
231,'no checking','existing paid','new car',2507,500<=X<1000,>=7,'male single',51,'unskilled resident',good
232,'no checking','existing paid',radio/tv,2141,100<=X<500,4<=X<7,'male single',35,skilled,good
233,0<=X<200,'existing paid',radio/tv,866,<100,1<=X<4,'male mar/wid',25,'unskilled resident',good
234,'no checking','critical/other existing credit',radio/tv,1544,<100,4<=X<7,'male single',42,'unskilled resident',good
235,<0,'existing paid',radio/tv,1823,<100,unemployed,'male single',30,'high qualif/self emp/mgmt',bad
236,0<=X<200,'existing paid','new car',14555,'no known savings',unemployed,'male single',23,'unemp/unskilled non res',bad
237,0<=X<200,'existing paid',business,2767,100<=X<500,>=7,'male div/sep',61,'unskilled resident',bad
238,'no checking','critical/other existing credit',radio/tv,1291,<100,1<=X<4,'female div/sep/mar',35,skilled,good
239,<0,'existing paid',radio/tv,2522,<100,>=7,'male single',39,skilled,good
240,<0,'existing paid','new car',915,'no known savings',>=7,'female div/sep/mar',29,skilled,bad
241,'no checking','existing paid',radio/tv,1595,<100,4<=X<7,'male single',51,skilled,good
242,<0,'no credits/all paid','used car',4605,<100,>=7,'male single',24,skilled,bad
243,'no checking','critical/other existing credit',business,1185,<100,1<=X<4,'female div/sep/mar',27,skilled,good
244,'no checking','all paid',retraining,3447,500<=X<1000,1<=X<4,'female div/sep/mar',35,'unskilled resident',good
245,'no checking','existing paid',business,1258,<100,4<=X<7,'male single',25,skilled,good
246,'no checking','critical/other existing credit',radio/tv,717,<100,>=7,'male single',52,skilled,good
247,'no checking','no credits/all paid','new car',1204,100<=X<500,1<=X<4,'male single',35,skilled,good
248,>=200,'existing paid',furniture/equipment,1925,<100,1<=X<4,'male single',26,skilled,good
249,'no checking','existing paid',radio/tv,433,<100,unemployed,'female div/sep/mar',22,skilled,bad
250,<0,'critical/other existing credit','new car',666,>=1000,4<=X<7,'female div/sep/mar',39,'unskilled resident',good
251,>=200,'existing paid',furniture/equipment,2251,<100,1<=X<4,'female div/sep/mar',46,'unskilled resident',good
252,0<=X<200,'existing paid','new car',2150,<100,1<=X<4,'female div/sep/mar',24,skilled,bad
253,'no checking','delayed previously',furniture/equipment,4151,100<=X<500,1<=X<4,'male single',35,skilled,good
254,0<=X<200,'existing paid',furniture/equipment,2030,'no known savings',4<=X<7,'male single',24,skilled,good
255,0<=X<200,'delayed previously',radio/tv,7418,'no known savings',1<=X<4,'male single',27,'unskilled resident',good
256,'no checking','critical/other existing credit',radio/tv,2684,<100,1<=X<4,'male single',35,'unskilled resident',good
257,<0,'all paid',radio/tv,2149,<100,1<=X<4,'male div/sep',29,skilled,bad
258,'no checking','existing paid','used car',3812,100<=X<500,<1,'female div/sep/mar',23,skilled,good
259,'no checking','critical/other existing credit',radio/tv,1154,100<=X<500,unemployed,'female div/sep/mar',57,'unskilled resident',good
260,<0,'existing paid',furniture/equipment,1657,<100,1<=X<4,'male single',27,skilled,good
261,<0,'existing paid',radio/tv,1603,<100,>=7,'female div/sep/mar',55,skilled,good
262,<0,'critical/other existing credit','new car',5302,<100,>=7,'male single',36,'high qualif/self emp/mgmt',good
263,'no checking','critical/other existing credit',education,2748,<100,>=7,'female div/sep/mar',57,'unskilled resident',good
264,'no checking','critical/other existing credit','new car',1231,<100,>=7,'male single',32,'unskilled resident',good
265,0<=X<200,'existing paid',radio/tv,802,<100,>=7,'male single',37,skilled,bad
266,'no checking','critical/other existing credit',business,6304,'no known savings',>=7,'male single',36,skilled,good
267,'no checking','existing paid',radio/tv,1533,<100,<1,'female div/sep/mar',38,skilled,good
268,<0,'existing paid','new car',8978,<100,>=7,'male div/sep',45,'high qualif/self emp/mgmt',bad
269,'no checking','existing paid',radio/tv,999,'no known savings',>=7,'male single',25,skilled,good
270,'no checking','existing paid','new car',2662,'no known savings',4<=X<7,'male single',32,skilled,good
271,'no checking','critical/other existing credit',furniture/equipment,1402,500<=X<1000,4<=X<7,'female div/sep/mar',37,skilled,good
272,0<=X<200,'all paid','new car',12169,'no known savings',unemployed,'male single',36,'high qualif/self emp/mgmt',good
273,0<=X<200,'existing paid',radio/tv,3060,<100,4<=X<7,'male single',28,skilled,bad
274,<0,'existing paid',repars,11998,<100,<1,'male div/sep',34,'unskilled resident',bad
